Name,YahooSymbol,CurrentEUR,TargetEUR,DeltaEUR,WeightPct,TargetWeightPct,DeltaWeightPct,Mom12m,Rank,Action,InTargetBook,IsNordic,Region
Intel,INTC,1475,2146,671,0.10669849537037036,0.15523726851851852,0.04853877314814815,3.411865938812814,1,ADD,1,0,Other
Microsoft,MSFT,1475,0,-1475,0.10669849537037036,0,-0.10669849537037036,-0.22860471755907685,,EXIT,0,0,Other
Neste,NESTE.HE,4496,2146,-2350,0.32523148148148145,0.15523726851851852,-0.16999421296296297,1.575246634620438,3,TRIM,1,1,Nordic
Nordea,NDA-FI.HE,3439,3439,0,0.24877025462962962,0.24877025462962962,0,0.5225642375950719,,DEFER,1,1,Nordic
Sarepta Therapeutics,SRPT,1293,1293,0,0.0935329861111111,0.0935329861111111,0,0.1876876919878181,,DEFER,1,0,Other
SoFi Technologies,SOFI,1646,0,-1646,0.11906828703703703,0,-0.11906828703703703,-0.1932892335577262,,EXIT,0,0,Other
