Label,ShortLabel,Role,FeeBps,StartEUR,EndEUR,TotalReturn,CAGR,AnnVol,Sharpe,SharpeVsBenchmark,MaxDrawdown,AnnOnewayTurnover,AvgNamesChanged,AvgHoldings,Rebalances,Days
Benchmark VWCE.DE,BM VWCE.DE,benchmark,5,15000,30625.846722915514,1.0417231148610342,0.13794197803097585,0.13671044938918284,1.0133200210783344,0,-0.2107142857142864,0,0,1,0,1393
Universe EW buy&hold,Universe EW buy&hold,benchmark,5,15000,36915.63598729839,1.461042399153226,0.1770801697538995,0.13290813800089632,1.2927504332852353,0.2794304122069009,-0.18073595584822688,0,0,89,0,1393
Applied: semiannual / max 3 changes,semiannual / max 3 changes,applied,5,15000,53470.014324315955,2.5646676216210635,0.2587355025924356,0.1903189243546835,1.3037789913192697,0.29045897024093525,-0.1891582880739051,0.525,3,10,10,1393
Monthly / full refresh (previous sim style),Monthly / full refresh,previous,5,15000,57966.37548429163,2.8644250322861087,0.27726969715109284,0.21064797133154603,1.2669309190665692,0.2536108979882348,-0.21538131333740407,2.371551724137931,2.3518518518518516,10,55,1393
Semiannual / full refresh,Semiannual / full refresh,alt,5,15000,53847.56252915654,2.5898375019437694,0.26033987710244566,0.19904857591551234,1.2614127643253739,0.24809274324703945,-0.22023848544987135,0.9051724137931034,5.111111111111111,10,10,1393
Quarterly / max 3 changes,Quarterly / max 3 changes,alt,5,15000,54689.9021826325,2.6459934788421666,0.2638864231215181,0.20407574147227078,1.249355551182416,0.23603553010408151,-0.21803338299193098,0.9413793103448276,2.7222222222222223,10,19,1393
Semiannual / max 2 changes,Semiannual / max 2 changes,alt,5,15000,44550.05360803529,1.9700035738690191,0.2178262021366275,0.17207180991206938,1.2308949208037212,0.2175748997253868,-0.21996995738775804,0.38017241379310346,2,10,10,1393
